2024-12-04T11:15:11,f09a7c21ca78,fat_free_crm-web-1,0.03%,417.4MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.00%,68.98MiB / 7.425GiB 
2024-12-04T11:15:24,f09a7c21ca78,fat_free_crm-web-1,0.03%,417.4MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.39%,69.23MiB / 7.425GiB 
2024-12-04T11:15:36,f09a7c21ca78,fat_free_crm-web-1,131.06%,426.2MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.27%,69.15MiB / 7.425GiB 
2024-12-04T11:15:49,f09a7c21ca78,fat_free_crm-web-1,0.02%,433.4MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.44%,69.18MiB / 7.425GiB 
2024-12-04T11:16:02,f09a7c21ca78,fat_free_crm-web-1,15.15%,433.7MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.35%,69.18MiB / 7.425GiB 
2024-12-04T11:16:14,f09a7c21ca78,fat_free_crm-web-1,0.04%,449.7MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.37%,69.21MiB / 7.425GiB 
2024-12-04T11:16:27,f09a7c21ca78,fat_free_crm-web-1,0.03%,449.7MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.34%,69.23MiB / 7.425GiB 
2024-12-04T11:16:40,f09a7c21ca78,fat_free_crm-web-1,0.03%,490.6MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.00%,69.68MiB / 7.425GiB 
2024-12-04T11:16:52,f09a7c21ca78,fat_free_crm-web-1,0.05%,490.6MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.00%,69.68MiB / 7.425GiB 
2024-12-04T11:17:05,f09a7c21ca78,fat_free_crm-web-1,0.03%,490.6MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.00%,69.68MiB / 7.425GiB 
2024-12-04T11:17:18,f09a7c21ca78,fat_free_crm-web-1,0.19%,490.7MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.00%,69.68MiB / 7.425GiB 
2024-12-04T12:49:38,b832bb4e09b2,fat_free_crm-web-1,0.07%,496.4MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.24%,68.74MiB / 7.425GiB 
2024-12-04T12:49:51,b832bb4e09b2,fat_free_crm-web-1,45.02%,548.9MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.23%,68.74MiB / 7.425GiB 
2024-12-04T12:50:03,b832bb4e09b2,fat_free_crm-web-1,0.16%,548.9MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.2MiB / 7.425GiB 
2024-12-04T12:50:16,b832bb4e09b2,fat_free_crm-web-1,0.03%,548.8MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.2MiB / 7.425GiB 
2024-12-04T12:50:29,b832bb4e09b2,fat_free_crm-web-1,124.32%,574.1MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.2MiB / 7.425GiB 
2024-12-04T12:50:41,b832bb4e09b2,fat_free_crm-web-1,0.02%,571.2MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.92%,69.29MiB / 7.425GiB 
2024-12-04T12:50:53,b832bb4e09b2,fat_free_crm-web-1,0.11%,571.2MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.21MiB / 7.425GiB 
2024-12-04T12:51:06,b832bb4e09b2,fat_free_crm-web-1,0.03%,608.8MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.21MiB / 7.425GiB 
2024-12-04T12:51:18,b832bb4e09b2,fat_free_crm-web-1,0.02%,608.9MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.01%,69.2MiB / 7.425GiB 
2024-12-04T12:51:31,b832bb4e09b2,fat_free_crm-web-1,0.02%,608.8MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.2MiB / 7.425GiB 
2024-12-04T12:51:43,b832bb4e09b2,fat_free_crm-web-1,0.03%,608.8MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.2MiB / 7.425GiB 
2024-12-04T12:51:56,b832bb4e09b2,fat_free_crm-web-1,0.05%,608.8MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.2MiB / 7.425GiB 
2024-12-04T12:52:08,b832bb4e09b2,fat_free_crm-web-1,0.02%,608.8MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.2MiB / 7.425GiB 
2024-12-04T12:52:21,b832bb4e09b2,fat_free_crm-web-1,0.02%,608.8MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.2MiB / 7.425GiB 
2024-12-04T12:52:33,b832bb4e09b2,fat_free_crm-web-1,0.05%,608.8MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.2MiB / 7.425GiB 
2024-12-04T12:52:46,b832bb4e09b2,fat_free_crm-web-1,0.03%,608.8MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.00%,69.21MiB / 7.425GiB 
2024-12-04T12:52:58,b832bb4e09b2,fat_free_crm-web-1,0.03%,608.9MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.69%,65.89MiB / 7.425GiB 
2024-12-04T12:53:11,b832bb4e09b2,fat_free_crm-web-1,0.01%,608.9MiB / 7.425GiB 3d528920501d,fat_free_crm-db-1,0.82%,65.82MiB / 7.425GiB 
